geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_pct,denom_li_pop,lowaccess_li_count,lowaccess_li_pct,denom_tot_kids,lowaccess_kids_count,lowaccess_kids_pct,denom_tot_seniors,lowaccess_seniors_count,lowaccess_seniors_pct
1400000US06037123301,6037123301,2019,4559,502,11.011187,1565,156,9.968051,979,90,9.1930542,402,55,13.681592
1400000US06037123303,6037123303,2019,3301,0,0,1508,0,0,841,0,0,279,0,0
1400000US06037123304,6037123304,2019,4687,0,0,2221,0,0,1084,0,0,724,0,0
1400000US06037123410,6037123410,2019,4247,686,16.152578,1806,277,15.337763,1083,179,16.528162,428,70,16.355141
1400000US06037123420,6037123420,2019,4638,828,17.852522,2319,401,17.291937,1307,314,24.024483,377,43,11.405835
1400000US06037123510,6037123510,2019,4753,255,5.3650327,2327,123,5.2857757,1175,73,6.2127662,611,24,3.9279869
1400000US06037123520,6037123520,2019,2567,737,28.710558,1205,308,25.560165,567,171,30.15873,252,58,23.015873
1400000US06037123601,6037123601,2019,4995,1,.020020019,1698,0,0,995,0,0,678,0,0
1400000US06037123602,6037123602,2019,3332,1826,54.801922,1284,564,43.925232,704,367,52.13068,427,281,65.807961
1400000US06037123700,6037123700,2019,4114,0,0,1343,0,0,845,0,0,548,0,0
1400000US06037123800,6037123800,2019,5531,45,.81359607,1998,19,.95095098,1094,11,1.0054845,605,3,.49586776
1400000US06037123901,6037123901,2019,4498,268,5.9582038,2097,132,6.2947068,1050,72,6.8571429,381,17,4.4619422
1400000US06037123902,6037123902,2019,2561,1335,52.128075,866,475,54.849884,439,221,50.341686,255,142,55.686275
1400000US06037124000,6037124000,2019,4550,0,0,979,0,0,861,0,0,653,0,0
1400000US06037124102,6037124102,2019,3549,1631,45.956608,1689,649,38.425102,779,313,40.179718,237,114,48.101265
1400000US06037124103,6037124103,2019,2030,639,31.477833,1119,370,33.065235,537,177,32.960896,146,45,30.821918
1400000US06037124104,6037124104,2019,2439,0,0,1281,0,0,562,0,0,214,0,0
1400000US06037124105,6037124105,2019,2658,0,0,1121,0,0,692,0,0,160,0,0
1400000US06037124201,6037124201,2019,3506,2,.057045065,1150,1,.086956523,778,1,.1285347,366,0,0
1400000US06037124203,6037124203,2019,2748,636,23.144104,1212,316,26.072607,714,182,25.490196,159,42,26.415094
1400000US06037124204,6037124204,2019,3071,2151,70.042328,888,853,96.058556,730,541,74.109589,147,95,64.625847
1400000US06037124300,6037124300,2019,4046,0,0,1460,0,0,984,0,0,337,0,0
1400000US06037124400,6037124400,2019,4192,161,3.8406489,1138,52,4.5694199,986,26,2.6369169,534,16,2.9962547
1400000US06037124500,6037124500,2019,2779,2627,94.530403,715,652,91.188812,508,487,95.866142,357,329,92.15686
1400000US06037124600,6037124600,2019,3123,2540,81.332054,752,645,85.771278,608,492,80.921051,415,345,83.13253
1400000US06037124700,6037124700,2019,4796,190,3.9616346,1274,45,3.5321822,846,36,4.2553191,658,34,5.1671734
1400000US06037124902,6037124902,2019,2766,0,0,1238,0,0,454,0,0,484,0,0
1400000US06037124903,6037124903,2019,3262,0,0,1005,0,0,410,0,0,374,0,0
1400000US06037125101,6037125101,2019,2717,183,6.7353697,945,38,4.0211639,427,26,6.0889931,240,16,6.6666665
1400000US06037125102,6037125102,2019,2714,183,6.742815,944,37,3.9194915,427,26,6.0889931,240,16,6.6666665
1400000US06037125200,6037125200,2019,3524,3315,94.069237,1192,1126,94.463089,578,535,92.560555,286,268,93.706291
1400000US06037125310,6037125310,2019,4750,700,14.736842,1823,346,18.979704,902,80,8.8691797,337,68,20.178041
1400000US06037125321,6037125321,2019,1985,18,.90680099,1087,9,.82796687,314,3,.955414,175,2,1.1428572
1400000US06037125322,6037125322,2019,2858,25,.87473756,1564,14,.89514065,453,5,1.1037527,252,3,1.1904762
1400000US06037125402,6037125402,2019,3672,3164,86.165581,1265,749,59.209488,414,359,86.714973,271,238,87.822876
1400000US06037125403,6037125403,2019,1703,856,50.26424,609,211,34.646961,164,81,49.390244,105,84,80
1400000US06037125404,6037125404,2019,2321,1167,50.280052,829,287,34.620026,223,111,49.775784,143,115,80.419579
1400000US06037125501,6037125501,2019,3077,291,9.4572639,1068,102,9.5505619,411,41,9.9756689,236,29,12.288136
1400000US06037125502,6037125502,2019,3083,3031,98.313332,806,678,84.11911,298,294,98.657715,201,198,98.507462
1400000US06037125600,6037125600,2019,2656,1012,38.102409,606,134,22.112211,417,171,41.007195,419,187,44.63007
1400000US06037127102,6037127102,2019,4726,753,15.933136,2899,393,13.556398,1295,185,14.285714,283,61,21.55477
1400000US06037127103,6037127103,2019,2939,0,0,1736,0,0,746,0,0,154,0,0
1400000US06037127104,6037127104,2019,3573,1125,31.486147,1992,585,29.36747,897,290,32.32999,303,88,29.042904
1400000US06037127210,6037127210,2019,5531,0,0,2759,0,0,1468,0,0,488,0,0
1400000US06037127220,6037127220,2019,4931,0,0,2586,0,0,1289,0,0,525,0,0
1400000US06037127300,6037127300,2019,4460,1906,42.735428,1306,769,58.882084,951,442,46.477394,455,230,50.54945
1400000US06037127400,6037127400,2019,5808,4803,82.696281,3814,2679,70.241219,1719,1418,82.489822,285,242,84.912277
